Index,Message,Description,Message Abstract,Description Abstract
617,Merge pull request #1599 from nestjs/renovate/fork-ts-checker-webpack-plugin-7.x,fix(deps): update dependency fork-ts-checker-webpack-plugin to v7.2.3,Merge pull request #1599 from nestjs/renovate/fork-ts-checker-webpack-plugin-7.x,fix(deps): update dependency fork-ts-checker-webpack-plugin to v7.2.3
618,fix(deps): update angular-cli monorepo to v13.3.2,,fix(deps): update angular-cli monorepo to v13.3.2,
619,fix(deps): update dependency fork-ts-checker-webpack-plugin to v7.2.3,,fix(deps): update dependency fork-ts-checker-webpack-plugin to v7.2.3,
620,chore(deps): update dependency prettier to v2.6.2,,chore(deps): update dependency prettier to v2.6.2,
621,feat(core): show defaults in CLI output,"Prior to this change option defaults were not visible to a CLI user: Options:   --directory [directory]                  Specify the destination directory   -d, --dry-run                            Report actions that would be performed without writing out results.   -g, --skip-git                           Skip git repository initialization.   -s, --skip-install                       Skip package installation.   -p, --package-manager [package-manager]  Specify package manager.   -l, --language [language]                Programming language to be used (TypeScript or JavaScript).   -c, --collection [collectionName]        Schematics collection to use.   --strict                                 Enables strict mode in TypeScript.   -h, --help                               Output usage information. After this change: Options:   --directory [directory]                  Specify the destination directory   -d, --dry-run                            Report actions that would be performed without writing out results. (default: false)   -g, --skip-git                           Skip git repository initialization. (default: false)   -s, --skip-install                       Skip package installation. (default: false)   -p, --package-manager [package-manager]  Specify package manager.   -l, --language [language]                Programming language to be used (TypeScript or JavaScript) (default: ""TypeScript"")   -c, --collection [collectionName]        Schematics collection to use (default: ""@nestjs/schematics"")   --strict                                 Enables strict mode in TypeScript. (default: false)   -h, --help                               Output usage information.",feat(core): show defaults in CLI output,"Prior to this change option defaults were not visible to a CLI user: Options:   --directory [directory]                  Specify the destination directory   -d, --dry-run                            Report actions that would be performed without writing out results.   -g, --skip-git                           Skip git repository initialization.   -s, --skip-install                       Skip package installation.   -p, --package-manager [package-manager]  Specify package manager.   -l, --language [language]                Programming language to be used (TypeScript or JavaScript).   -c, --collection [collectionName]        Schematics collection to use.   --strict                                 Enables strict mode in TypeScript.   -h, --help                               Output usage information. After this change: Options:   --directory [directory]                  Specify the destination directory   -d, --dry-run                            Report actions that would be performed without writing out results. (default: false)   -g, --skip-git                           Skip git repository initialization. (default: false)   -s, --skip-install                       Skip package installation. (default: false)   -p, --package-manager [package-manager]  Specify package manager.   -l, --language [language]                Programming language to be used (TypeScript or JavaScript) (default: ""TypeScript"")   -c, --collection [collectionName]        Schematics collection to use (default: ""@nestjs/schematics"")   --strict                                 Enables strict mode in TypeScript. (default: false)   -h, --help                               Output usage information."
622,fix(deps): update dependency webpack to v5.71.0,,fix(deps): update dependency webpack to v5.71.0,
623,chore(deps): update dependency release-it to v14.14.0,,chore(deps): update dependency release-it to v14.14.0,
624,chore(deps): update typescript-eslint monorepo to v5.17.0,,chore(deps): update typescript-eslint monorepo to v5.17.0,
625,chore(deps): update dependency eslint to v8.12.0,,chore(deps): update dependency eslint to v8.12.0,
626,chore(deps): update dependency prettier to v2.6.1,,chore(deps): update dependency prettier to v2.6.1,
