Index,Message,Description
432,build: move from stale GH app to stale action (#35845)
433,fix: TryCatch scope in node_bindings (#35850)
434,chore: bump chromium to 108.0.5329.0 (main) (#35628)
435,Bump v23.0.0-nightly.20221003
436,Bump v23.0.0-nightly.20220930
437,Bump v23.0.0-nightly.20220929
438,docs: update breaking changes for v21 (#35820)
439,Bump v22.0.0-nightly.20220928
440,feat: replace scroll-touch* with generic input-event (#35531)
441,build: fix deps workflow tag comparison (#35830)
442,fix: set display_id in desktop capturer on Linux (#33861)
443,Bump v22.0.0-nightly.20220927
444,fix: Handle an electron.d.ts file in a custom build (#33979)
445,feat: add WebContents.opener and webContents.fromFrame() (#35140)
446,feat: add support for Web Bluetooth pin pairing (#35416)
447,build: fix major dependencies update workflow file (#35811)
448,Bump v22.0.0-nightly.20220926
449,build: remove unused GitHub app config file (#35797)
450,docs: minor grammar fixes in tutorial (#35804)
451,chore: bump node to v16.17.1 (main) (#35800)
452,fix: potential exception when calling webFrameMainBinding.fromIdOrNull() (#35785)
453,fix: set macOS crypto keychain name earlier (#34683)
454,feat: add app.getSystemLocale() method (#35697)
455,chore: update NMV for Electron 22 (#35772)
456,docs: update E22 release dates (#35773)
457,Bump v22.0.0-nightly.20220923
458,docs: changed event.data to data under the message.port in docs (#35086)
459,build: make patches owned by patch-owners (formed by upgrades + security) (#35778)
460,docs: update the link for Introduction to Node.js (#35761)
461,Bump v22.0.0-nightly.20220922
462,fix: allow docking DevTools with WCO (#35754)
463,docs: add forge-overview.md (#35473)
464,docs: remove claim that HTTPS authenticates the remote server (#35526)
465,"feat: add exposeInIsolatedWorld(worldId, key, api) to contextBridge (#34974)"
466,Bump v22.0.0-nightly.20220921
467,ci: add blocked/needs-repro issues-helper  (#35605)
468,fix: WebAuthn Discoverable Credential (Resident Credential) (#35374)
469,chore: add missing .eslintrc.json files to limit imports properly (#35719)
470,docs: fix wording mistake in security.md section 4 (#35682)
471,Bump v22.0.0-nightly.20220920
472,chore: fix ambiguous reference gcc compile error (#35714)
473,fix: edge case in app.isInApplicationsFolder() (#35636)
474,Bump v22.0.0-nightly.20220919
475,"Revert ""Bump v22.0.0-nightly.20220919"""
476,Bump v22.0.0-nightly.20220919
477,feat: add webContents.close() (#35509)
478,Bump v22.0.0-nightly.20220916
479,fix: uv_os_gethostname failing on Windows 7 (libuv patch regression) (#35702)
480,docs: reverse support matrix order (#35699)
