Index,Release Note,Release Note With Abstraction
123,"Changed

Remove old 5.9 version constraints (c7664fc)

Fixed

Don't try and find a user when stripeId is null (#721)
","Changed
Remove old 5.9 version constraints (c7664fc)
Fixed
Don't try and find a user when stripeId is null (#721)"
124,"Changed

Updated version constraints for Laravel 6.0 (4a4c5c2)
","Changed
Updated version constraints for Laravel 6.0 (4a4c5c2)"
125,Cashier v10 is a major new release. Please give the upgrade guide a thorough read to see what's new.,Cashier v10 is a major new release. Please give the upgrade guide a thorough read to see what's new.
126,"Fixed

Fix hasStartingBalance and subtotal on Invoice (#684)
","Fixed
Fix hasStartingBalance and subtotal on Invoice (#684)"
127,"Changed

VerifyWebhookSignature is no longer final (260de04)
Remove strict type check for trialUntil() (#678)
","Changed
VerifyWebhookSignature is no longer final (260de04)
Remove strict type check for trialUntil() (#678)"
128,"Fixed

Fixing defaultCard() exception when user is not a Stripe customer (#660)
","Fixed
Fixing defaultCard() exception when user is not a Stripe customer (#660)"
129,"Added

Able to update a Stripe customer (#634)

Fixed

Handle incomplete subscriptions upon creation (#631)
Handle card failure in plan swap (#641)
","Added
Able to update a Stripe customer (#634)
Fixed
Handle incomplete subscriptions upon creation (#631)
Handle card failure in plan swap (#641)"
130,"Fixed

Use new created property on invoice (4714ba4)
","Fixed
Use new created property on invoice (4714ba4)"
131,"Added

Add subscription state scopes (#609)

Changed

Test latest Stripe API version (#611)
","Added
Add subscription state scopes (#609)
Changed
Test latest Stripe API version (#611)"
132,"Added

Laravel 5.8 support (291f4b2)
","Added
Laravel 5.8 support (291f4b2)"
133,"Added

Allow Carbon 2 installs (a3b9d36)

Changed

Test against latest Stripe API version (#603)

Fixed

Correct PHP Doc @return tag (#601)
","Added
Allow Carbon 2 installs (a3b9d36)
Changed
Test against latest Stripe API version (#603)
Fixed
Correct PHP Doc @return tag (#601)"
134,"Changed

Removed support for PHP 7.0 (#595)
Require Laravel 5.7 as minimum version (#595)
Extract updateCard from createAsStripeCustomer method (#588)
Remove CASHIER_ENV and event checks and encourage usage of VerifyWebhookSignature middleware (#591)
The invoice method now accepts an $options param (#598)
The invoiceFor method now accepts an $invoiceOptions param (#598)

Fixed

Fixed some DocBlocks (#594)
Fixed a bug where the swap and incrementAndInvoice methods on the Subscription model would sometimes invoice other pending invoice items (#598)
","Changed
Removed support for PHP 7.0 (#595)
Require Laravel 5.7 as minimum version (#595)
Extract updateCard from createAsStripeCustomer method (#588)
Remove CASHIER_ENV and event checks and encourage usage of VerifyWebhookSignature middleware (#591)
The invoice method now accepts an $options param (#598)
The invoiceFor method now accepts an $invoiceOptions param (#598)
Fixed
Fixed some DocBlocks (#594)
Fixed a bug where the swap and incrementAndInvoice methods on the Subscription model would sometimes invoice other pending invoice items (#598)"
